train_loss,train_rmsd,val_loss,val_rmsd
2.550407409667968750e+00,2.720614910125732422e+00,1.339552402496337891e+00,1.891716957092285156e+00
2.550285816192626953e+00,2.449502229690551758e+00,1.361321687698364258e+00,1.853165745735168457e+00
2.093322277069091797e+00,2.337693691253662109e+00,1.411810398101806641e+00,1.834062814712524414e+00
1.726931452751159668e+00,2.125311851501464844e+00,1.415738344192504883e+00,1.844853162765502930e+00
1.350533485412597656e+00,1.781016349792480469e+00,1.386290907859802246e+00,1.887428045272827148e+00
2.731210708618164062e+00,2.836040258407592773e+00,1.076795697212219238e+00,1.641696572303771973e+00
2.363680839538574219e+00,2.645138025283813477e+00,1.396921157836914062e+00,1.912688851356506348e+00
2.660134077072143555e+00,2.817676544189453125e+00,1.292206048965454102e+00,1.812049150466918945e+00
2.320603370666503906e+00,2.552522420883178711e+00,1.281032204627990723e+00,1.769043922424316406e+00
2.388404130935668945e+00,2.676038265228271484e+00,1.304258227348327637e+00,1.837176322937011719e+00
1.979645967483520508e+00,2.239194393157958984e+00,1.450215816497802734e+00,1.967022538185119629e+00
1.480938196182250977e+00,1.902261137962341309e+00,1.291493892669677734e+00,1.862054824829101562e+00
3.972152233123779297e+00,3.211072206497192383e+00,1.489306688308715820e+00,1.973706722259521484e+00
2.339769601821899414e+00,2.623388767242431641e+00,1.151756048202514648e+00,1.729856848716735840e+00
1.728905677795410156e+00,2.171939373016357422e+00,1.299965381622314453e+00,1.806268572807312012e+00
2.154064655303955078e+00,2.011150360107421875e+00,1.233918786048889160e+00,1.790624976158142090e+00
4.294214248657226562e+00,3.562978982925415039e+00,1.286666989326477051e+00,1.810660004615783691e+00
1.522928237915039062e+00,2.093392133712768555e+00,1.400293111801147461e+00,1.946223497390747070e+00
2.532569885253906250e+00,2.742610454559326172e+00,1.085654616355895996e+00,1.587230801582336426e+00
2.555524587631225586e+00,2.587713241577148438e+00,1.314738273620605469e+00,1.833257317543029785e+00
4.918233871459960938e+00,3.698793172836303711e+00,1.129607439041137695e+00,1.702930450439453125e+00
2.404379844665527344e+00,2.668880462646484375e+00,1.173929691314697266e+00,1.642906188964843750e+00
2.255609512329101562e+00,2.551641941070556641e+00,1.200946092605590820e+00,1.723241090774536133e+00
1.854163765907287598e+00,1.845545768737792969e+00,1.076871395111083984e+00,1.633138418197631836e+00
1.660376429557800293e+00,2.029935359954833984e+00,1.335208058357238770e+00,1.833192706108093262e+00
2.709727048873901367e+00,2.773282766342163086e+00,1.156665086746215820e+00,1.694884896278381348e+00
2.192065715789794922e+00,2.542788028717041016e+00,1.016585588455200195e+00,1.547451615333557129e+00
1.385807037353515625e+00,1.895506739616394043e+00,1.198727607727050781e+00,1.767983198165893555e+00
2.557047367095947266e+00,2.763666629791259766e+00,1.082184076309204102e+00,1.640856027603149414e+00
3.381103992462158203e+00,2.889888048171997070e+00,1.305254697799682617e+00,1.848787546157836914e+00
1.890446186065673828e+00,2.210736751556396484e+00,1.185374498367309570e+00,1.688840746879577637e+00
1.367773175239562988e+00,1.886190176010131836e+00,1.023209214210510254e+00,1.582683324813842773e+00
5.468841552734375000e+00,3.904622554779052734e+00,1.191798806190490723e+00,1.734452366828918457e+00
2.682767868041992188e+00,2.585330724716186523e+00,1.284480810165405273e+00,1.832319974899291992e+00
1.932479381561279297e+00,2.320877552032470703e+00,1.198984384536743164e+00,1.747295260429382324e+00
2.150770902633666992e+00,2.444773674011230469e+00,1.197066307067871094e+00,1.828956365585327148e+00
4.846432685852050781e+00,3.188162565231323242e+00,1.124408960342407227e+00,1.713227629661560059e+00
2.234562873840332031e+00,2.579005718231201172e+00,1.229403614997863770e+00,1.726420283317565918e+00
2.741009712219238281e+00,2.615818023681640625e+00,1.018896818161010742e+00,1.620888948440551758e+00
3.937199592590332031e+00,3.380537033081054688e+00,1.186251163482666016e+00,1.670332312583923340e+00
1.568180561065673828e+00,2.132554531097412109e+00,1.196475982666015625e+00,1.707230091094970703e+00
3.331078052520751953e+00,3.104065418243408203e+00,1.109312295913696289e+00,1.653651952743530273e+00
2.281490087509155273e+00,2.235284805297851562e+00,1.120168089866638184e+00,1.694858908653259277e+00
1.896926283836364746e+00,2.385334014892578125e+00,1.257515788078308105e+00,1.747502923011779785e+00
1.196558475494384766e+00,1.673112750053405762e+00,1.129427671432495117e+00,1.705314874649047852e+00
1.657462120056152344e+00,2.093937158584594727e+00,1.070056676864624023e+00,1.623299956321716309e+00
3.414304018020629883e+00,3.065389156341552734e+00,1.032100796699523926e+00,1.569348216056823730e+00
2.011279821395874023e+00,2.298415660858154297e+00,1.214986801147460938e+00,1.768710970878601074e+00
1.444366097450256348e+00,1.992338180541992188e+00,1.245729565620422363e+00,1.803618788719177246e+00
1.737684488296508789e+00,2.247531652450561523e+00,1.327439308166503906e+00,1.866288661956787109e+00
1.697584867477416992e+00,1.961443901062011719e+00,1.086636185646057129e+00,1.615164279937744141e+00
2.164456367492675781e+00,2.541523456573486328e+00,1.003514289855957031e+00,1.568833589553833008e+00
2.389650821685791016e+00,2.659372806549072266e+00,1.006616592407226562e+00,1.516948223114013672e+00
3.034488439559936523e+00,2.954859733581542969e+00,1.165611743927001953e+00,1.709833145141601562e+00
1.483034372329711914e+00,2.100906610488891602e+00,1.022828817367553711e+00,1.602245926856994629e+00
1.596502065658569336e+00,2.121735095977783203e+00,1.043172240257263184e+00,1.636582732200622559e+00
7.376718044281005859e+00,3.276285648345947266e+00,1.046208381652832031e+00,1.626948714256286621e+00
1.607353925704956055e+00,1.983304500579833984e+00,1.111216545104980469e+00,1.710014343261718750e+00
1.306636095046997070e+00,1.732735514640808105e+00,1.016509532928466797e+00,1.551714539527893066e+00
1.640783071517944336e+00,1.703175544738769531e+00,1.013852119445800781e+00,1.548979520797729492e+00
1.959721922874450684e+00,2.220810651779174805e+00,1.396354198455810547e+00,1.958044171333312988e+00
8.338573455810546875e+00,4.210730552673339844e+00,8.616951704025268555e-01,1.440298199653625488e+00
2.110134124755859375e+00,2.497261762619018555e+00,1.074479818344116211e+00,1.652811884880065918e+00
1.735110759735107422e+00,2.152888774871826172e+00,1.088458180427551270e+00,1.671206712722778320e+00
2.615508794784545898e+00,2.693584918975830078e+00,1.086363792419433594e+00,1.653107285499572754e+00
1.481757879257202148e+00,2.038182497024536133e+00,1.194688320159912109e+00,1.731425046920776367e+00
3.302209377288818359e+00,2.989914655685424805e+00,1.112021446228027344e+00,1.651763081550598145e+00
3.459113836288452148e+00,3.123278617858886719e+00,9.458958506584167480e-01,1.536943078041076660e+00
1.315052986145019531e+00,1.908788084983825684e+00,8.760949373245239258e-01,1.417370796203613281e+00
1.485668420791625977e+00,2.096965551376342773e+00,9.517053365707397461e-01,1.400766372680664062e+00
1.298626065254211426e+00,1.764445543289184570e+00,8.814728260040283203e-01,1.465849876403808594e+00
1.584509015083312988e+00,2.162950038909912109e+00,1.414729475975036621e+00,1.842000961303710938e+00
5.289967536926269531e+00,3.617937326431274414e+00,1.015803575515747070e+00,1.546884059906005859e+00
2.415202140808105469e+00,2.611984729766845703e+00,1.026400208473205566e+00,1.597481250762939453e+00
1.050944685935974121e+00,1.561976194381713867e+00,9.491974711418151855e-01,1.567695260047912598e+00
1.868083477020263672e+00,2.220968246459960938e+00,7.854097485542297363e-01,1.267941474914550781e+00
2.536802768707275391e+00,2.669148921966552734e+00,9.264225363731384277e-01,1.522032856941223145e+00
1.986180067062377930e+00,2.116024017333984375e+00,8.954343199729919434e-01,1.428536653518676758e+00
2.007263183593750000e+00,2.412137031555175781e+00,1.038258194923400879e+00,1.639878630638122559e+00
2.405500411987304688e+00,2.576815605163574219e+00,9.866951107978820801e-01,1.533612966537475586e+00
3.371809959411621094e+00,3.081423282623291016e+00,1.003804445266723633e+00,1.625493645668029785e+00
